challenge_id,percentile,level,value,achieved_time,level_index,description,name,puuid
303300,0.229,BRONZE,20.0,2026-01-27 22:40:52,2,Progressez dans les défis du groupe Simultanéité.,Simultanéité,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
120000,0.087,PLATINUM,155.0,2025-12-13 17:02:21,5,Progressez dans les défis du groupe Chasse aux bots.,Chasse aux bots,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
303301,1.0,NONE,4.0,,0,Gagnez des parties avec un groupe arrangé de 2 dans une file classée.,Duo de choc,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
120003,0.104,SILVER,558.0,2025-12-16 17:06:00,3,Réussissez des éliminations en mode CoopvsIA.,Le soulèvement des bots,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
303302,0.201,IRON,1.0,2026-01-17 17:16:24,1,Gagnez des parties avec le même groupe de 5joueurs.,Meilleurs amis pour la vie,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
120002,0.02,PLATINUM,50.0,2025-12-18 17:26:01,5,Gagnez une partie de Coop vs IA avec différents champions.,Domination protéiforme,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
303303,0.166,SILVER,81.0,2026-03-14 20:18:09,3,Jouez des parties avec un groupe arrangé de n'importe quelle taille.,Sortie entre amis,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
504004,0.339,SILVER,17.0,2026-02-04 17:09:51,3,Obtenez des emotes.,Emotivation,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
504003,0.502,BRONZE,2.0,2025-12-16 17:03:52,2,Obtenez des skins de balise.,Collection de skins de balise,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
504002,0.304,SILVER,29.0,2026-02-05 22:30:18,3,Obtenez des icones d'invocateur.,Icone de la Faille,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
